object_name,visual_difficulty_tags,rationale,is_gripping_success_count,is_gripping_failure_count,filenames_present_in
3d_printed_black_cylinder_gear,"low_texture,dark_object",Mostly black and geometric; dark/low-contrast details may be hard for RGB features.,1,1,calandra_corl2017_015.h5
3d_printed_white_ball,"low_texture,simple_geometry",Plain white sphere with little texture; visual model may have few discriminative cues.,77,3,calandra_corl2017_012.h5;calandra_corl2017_013.h5;calandra_corl2017_014.h5;calandra_corl2017_015.h5;calandra_corl2017_016.h5
black_metallic_candle_cage,"shiny,dark_object,thin_structure",Metallic dark cage with specular highlights and thin structure.,0,11,calandra_corl2017_008.h5;calandra_corl2017_009.h5
black_plastic_half_cylinder,"low_texture,dark_object,simple_geometry",Plain dark plastic geometry with limited texture.,2,2,calandra_corl2017_012.h5;calandra_corl2017_013.h5;calandra_corl2017_015.h5
blue_bottle_fuel_treatment,"shiny,smooth_container",Smooth bottle-like packaging likely has reflective plastic surfaces.,11,25,calandra_corl2017_034.h5;calandra_corl2017_035.h5
blue_painted_glass,"transparent_or_glass,shiny",Glass object is likely transparent/translucent or highly specular.,304,254,calandra_corl2017_003.h5;calandra_corl2017_005.h5;calandra_corl2017_026.h5;calandra_corl2017_027.h5;calandra_corl2017_030.h5;calandra_corl2017_031.h5;calandra_corl2017_032.h5
candle_in_glass,"transparent_or_glass,shiny",Glass container can be transparent and produce reflections/refractions.,0,5,calandra_corl2017_000.h5;calandra_corl2017_001.h5;calandra_corl2017_002.h5
dark_blue_sphere,"low_texture,simple_geometry,dark_object",Plain dark sphere with little visual texture.,5,0,calandra_corl2017_003.h5;calandra_corl2017_004.h5;calandra_corl2017_005.h5
edge_shave_gel,"shiny,smooth_container",Smooth personal-care container likely has specular packaging.,8,2,calandra_corl2017_008.h5;calandra_corl2017_009.h5;calandra_corl2017_018.h5
glass_candle_holder,"transparent_or_glass,shiny",Glass holder is likely transparent/specular and can be visually ambiguous.,1,8,calandra_corl2017_008.h5;calandra_corl2017_009.h5
green_and_black_sphere,"low_texture,simple_geometry,dark_object",Mostly simple spherical geometry; black regions may reduce visible detail.,2,1,calandra_corl2017_004.h5;calandra_corl2017_005.h5
green_plastic_cup,"low_texture,smooth_container",Smooth plastic cup with simple shape and limited texture.,7,13,calandra_corl2017_008.h5;calandra_corl2017_009.h5
isopropyl_alcohol,"transparent_or_translucent,shiny,smooth_container",Alcohol bottle/container is often translucent or clear with reflective plastic.,0,4,calandra_corl2017_008.h5;calandra_corl2017_009.h5
metal_can,"shiny,smooth_container",Metal can surfaces are specular and may produce glare.,24,118,calandra_corl2017_023.h5;calandra_corl2017_024.h5;calandra_corl2017_025.h5
metal_cylinder_with_holes,"shiny,simple_geometry",Metal cylinder likely has reflective surfaces; holes may cause view-dependent appearance.,102,22,calandra_corl2017_003.h5;calandra_corl2017_004.h5;calandra_corl2017_005.h5;calandra_corl2017_016.h5;calandra_corl2017_017.h5;calandra_corl2017_018.h5
monofilament_line,"transparent_or_translucent,thin_structure",Thin fishing-line-like object can be nearly invisible in RGB.,163,0,calandra_corl2017_009.h5;calandra_corl2017_010.h5;calandra_corl2017_011.h5;calandra_corl2017_012.h5
ogx_shampoo,"shiny,smooth_container",Smooth shampoo bottle likely has reflective plastic and limited geometric texture.,78,138,calandra_corl2017_000.h5;calandra_corl2017_001.h5;calandra_corl2017_002.h5;calandra_corl2017_003.h5;calandra_corl2017_006.h5;calandra_corl2017_007.h5;calandra_corl2017_008.h5;calandra_corl2017_009.h5;calandra_corl2017_026.h5;calandra_corl2017_027.h5
peppermint_altoids_box,"shiny,metal_container",Metal tin can create glare/specular reflections.,35,17,calandra_corl2017_006.h5;calandra_corl2017_007.h5;calandra_corl2017_008.h5
pink_blue_coke_bottle,"transparent_or_translucent,shiny,smooth_container",Bottle-like object likely has smooth reflective/possibly translucent plastic.,4,1,calandra_corl2017_009.h5;calandra_corl2017_010.h5;calandra_corl2017_011.h5;calandra_corl2017_012.h5
pink_glass_glass,"transparent_or_glass,shiny",Glass cup/object is likely transparent and specular.,0,3,calandra_corl2017_003.h5;calandra_corl2017_004.h5;calandra_corl2017_005.h5
pino_silvestre,"shiny,smooth_container",Bottle/container object likely has smooth reflective surfaces.,0,4,calandra_corl2017_009.h5;calandra_corl2017_010.h5;calandra_corl2017_011.h5
plastic_watering_can,"low_texture,smooth_container",Smooth plastic container with broad low-texture surfaces.,50,14,calandra_corl2017_012.h5;calandra_corl2017_013.h5;calandra_corl2017_014.h5;calandra_corl2017_015.h5;calandra_corl2017_016.h5
ponds_dry_skin_cream,"shiny,smooth_container",Smooth cosmetic container may be reflective and visually generic.,26,13,calandra_corl2017_000.h5;calandra_corl2017_001.h5;calandra_corl2017_002.h5;calandra_corl2017_003.h5;calandra_corl2017_008.h5;calandra_corl2017_009.h5
purple_small_plastic_fruit,"low_texture,smooth_plastic",Small smooth plastic object with limited texture.,90,37,calandra_corl2017_012.h5;calandra_corl2017_013.h5;calandra_corl2017_014.h5;calandra_corl2017_015.h5;calandra_corl2017_016.h5
red_bull,"shiny,metal_container",Metal can is specular and can cause glare.,18,66,calandra_corl2017_023.h5;calandra_corl2017_024.h5;calandra_corl2017_025.h5
soda_can,"shiny,metal_container",Metal can is specular and visually sensitive to lighting.,30,9,calandra_corl2017_008.h5;calandra_corl2017_009.h5;calandra_corl2017_035.h5;calandra_corl2017_036.h5;calandra_corl2017_037.h5
soft_blue_cylinder,"low_texture,simple_geometry",Plain cylinder with limited visible texture.,5,0,calandra_corl2017_013.h5;calandra_corl2017_015.h5
